created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Fri Jan 01 12:43:31 +0000 2021,peccato che sei una medusa 🐙,"she/her ~fangirl ~ ravenclaw~ feminist~ equal/human rights supporter
*safe space for y'all* |Lots of OTPs||TVshow addicted||BTS|",Samantha De Grenet e la sua solita omofobia sottolinea che Tommaso travestito con la parrucca bionda e la barba era… https://t.co/SZz6BTmPbj,"Samantha De Grenet e la sua solita omofobia sottolinea che Tommaso travestito con la parrucca bionda e la barba era un mostro. Non si smentisce mai sta fascio leghista 🤢 ringraziamo sempre chi l'ha votata con il 18% 🤢

Menomale che Stefania ha detto che era bellissimo.
 #gfvip",[]
Fri Jan 01 15:13:09 +0000 2021,giulia 🗡,piango un sacco e guardo film,Eccoci live con una tisana al finocchio a guardare Orgoglio e Pregiudizio,,[]
Fri Jan 01 16:47:21 +0000 2021,joi,biotech student // nonbinary - they/them,@nongiocoabocce @shukumeii abbiamo tutti transfobia interiorizzata e l'unico modo di superarla é ascoltando altre p… https://t.co/m9GZVB6MeU,"@nongiocoabocce @shukumeii abbiamo tutti transfobia interiorizzata e l'unico modo di superarla é ascoltando altre persone trans invece di dove mettere i paletti su dove inizia e finisce il vostro supporto. Nessuno ti ha dato del mostro, ma se ti rifiuti di essere inclusiva la gente due domande te le fa",[]
Fri Jan 01 23:33:14 +0000 2021,Cercando di sconfiggere lo status quo,"Regista professionista di film mentali🎥
Premio miglior regia di castelli in aria 2019-20🎬
Sposato non ufficialmente con il tiramisù nel frigorifero💒✿
He/him",@stodormendoo Parla della comunità lgbt+ urban ed entra nel mondo trans e gay in un modo diverso da come possono fa… https://t.co/5z2iPS091y,"@stodormendoo Parla della comunità lgbt+ urban ed entra nel mondo trans e gay in un modo diverso da come possono fare altre serie, riesci proprio a sentire le esperienze dei personaggi e le loro emozioni. Riesce a denunciare l'emarginazione sociale e la discriminaziond in modo perfetto",[]
Sat Jan 02 09:33:34 +0000 2021,LO SPIRITO DEL NATALE🎄🎅🏼🤶🏼,Tommy Shelby Stan account 🧚🏻‍♀️ she/her,"@anarchogothfem Aiuto, quindi una donna trans non può sentirsi femminista radicale perché ha transfobia interiorizz… https://t.co/SFTEj7nt2e","@anarchogothfem Aiuto, quindi una donna trans non può sentirsi femminista radicale perché ha transfobia interiorizzata? Ma sono seri? Ma lo sanno che le terf comprendono solo un gruppo del femminismo radicale e che le rad fem non sono tutte terf?",[]
Sat Jan 02 15:30:12 +0000 2021,Anastasija 🎄🎆,"♌, 22 anni. Laureata in pubblica amministrazione(SAPP). *Non sono una persona in*",@uffchenoia @ssaraexposs Altrimenti è come dire che i baci tra persone dello stesso sesso stimolano l'omofobia come… https://t.co/6z3fpwAuqA,"@uffchenoia @ssaraexposs Altrimenti è come dire che i baci tra persone dello stesso sesso stimolano l'omofobia come dicevano veneziano e bettarini. Raga, rendiamoci conto che non è così. Tra l'altro, anche dayane ha dato della troia a Franceska e Franceska ha dato della madre di merda a D",[]
Sat Jan 02 17:48:48 +0000 2021,murphy,he\they · isfp · nd · bi × ceo of trans keith × constantly bored,"il sessismo sì, la transfobia no

con il nostro metodo si risolve tutto però no perché lo fanno i TrAnS KaTTiVi MiS… https://t.co/IJkJehkCHo","il sessismo sì, la transfobia no

con il nostro metodo si risolve tutto però no perché lo fanno i TrAnS KaTTiVi MiSoGiNi",[]
Sat Jan 02 18:48:21 +0000 2021,Kam 🏳️‍🌈 BUON ANNO MOOTS ♡,♿️ · he/them - nonbinary & pansexual · ITA/ENG · To get there · lazy nerd · 25 · ☉ ♋︎ / ☾ ♊︎ / ↑ ♌︎ · IAMX · #SquiddleFam · ♡ @IthurielGoshi ★,"tw // cancellazione trans ; transfobia

Il mio ragazzo ha da poco iniziato a guardare i gameplay di Cyberpunk 2077… https://t.co/pA0MDz50r5","tw // cancellazione trans ; transfobia

Il mio ragazzo ha da poco iniziato a guardare i gameplay di Cyberpunk 2077 e un giorno tutto entusiasta mi manda uno screen che mostra una macchina con una bandiera trans sul retro. ""Ci sarà un pg trans!"", pensiamo.
Ci prendiamo, c'è. https://t.co/fD1CcCrhEL",[]
Sun Jan 03 10:53:51 +0000 2021,Gianmarco Capogna 🏳️‍🌈,"Transfemminista, attivista #LGBTI. Comitato Scientifico di @PossibileIt. Portavoce di @PossibileLGBTI 🏳️‍🌈 #TransAlly | he/him. Scrivo su @QueerMagazineIt.","In questa puntata di #DomenicaQueer ho scelto di parlarvi di Lucy, donna trans del 1924 che è sopravvissuta al camp… https://t.co/Ym2eLIpXS5","In questa puntata di #DomenicaQueer ho scelto di parlarvi di Lucy, donna trans del 1924 che è sopravvissuta al campo di concentramento di Dachau. La sua storia è sta descritta come ""il secolo breve visto con occhi diversi"", un piccolo cimelio da conservare nella nostra memoria.","[{'text': 'DomenicaQueer', 'indices': [21, 35]}]"
Sun Jan 03 17:12:11 +0000 2021,mia 🦕,19/sapphic and vegan 💖 she/her,@Oldaa98 @nadirthequeer @punxcatalyst (e secondo te una donna trans è contenta di rischiare la propria vita per pot… https://t.co/aUtCOEixQN,@Oldaa98 @nadirthequeer @punxcatalyst (e secondo te una donna trans è contenta di rischiare la propria vita per poter sopravvivere? secondo te perché fa questo lavoro? forse perché in quanto donna trans non riesce a trovare un posto di lavoro adeguato??),[]
