created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Wed Jan 01 10:15:01 +0000 2020,..:: [ #IlGrilloBuffone ] ::..,"I veri partigiani furono i primi sovranisti!
w la patria!","Ecco, adesso pensate all’iter o in affitto ed al male che fate al bambino branco di finocchi arcobaleno",,[]
Wed Jan 01 19:16:20 +0000 2020,𝖩𝖺𝖽𝖾 🎗,"𝗂𝗇 𝗍𝗁𝖾 𝖾𝗇𝖽, 𝗐𝖾 𝗋𝖾𝖺𝖼𝗁𝖾𝖽 𝗍𝗁𝖾 𝗆𝗂𝗋𝖺𝗀𝖾 𝖺𝗇𝖽 𝗂𝗍 𝖻𝖾𝖼𝖺𝗆𝖾 𝗈𝗎𝗋 𝗋𝖾𝖺𝗅𝗂𝗍𝗒 // 𝖿𝖺𝗇 𝖺𝖼𝖼",@lgbtslegend Pensano davvero che l'incesto e la necrofilia siano più normali di due persone dello stesso sesso che si amano? Dio...,,[]
Thu Jan 02 13:13:24 +0000 2020,tuo-shop,Megastore online 30 anni di esperienza nel settore commerciale,Uomo nato donna e il suo compagno genderqueer genitori con sperma di trans https://t.co/aZ64IIYSe8,,[]
Thu Jan 02 18:10:32 +0000 2020,@AOrti,"Twitto di Tutto Un po',calcio ⚽️🎾!.#Siria#Iran#Venezuela#Brics #Resistance #Geopolitica Odio zecche e simili Informarsi e' un dovere!🇸🇾🇮🇹🇮🇷","@Marco_Zum @EttoreTreglia E sugli omosessuali, i froci, lgbt o come si chiamano ora..meno male non si faccia propag… https://t.co/5eHnGP9fFY","@Marco_Zum @EttoreTreglia E sugli omosessuali, i froci, lgbt o come si chiamano ora..meno male non si faccia propaganda o siano osteggiati, esistono ma non si posson vantare della loro malattia o farne un vanto come fosse la normalità... come avviene nel liberale mondo occidentale",[]
Thu Jan 02 22:00:44 +0000 2020,WelcomeAntonio,"beh che dire, super tifoso del unica squadra di Milano e amante dei colori nerazzurri.. tutto il resto non serve che sappiate","@Ladroparatici @EnzoArlotta29 Lo odio anche io, ma dura battere Rossi un gdm travestito da interisti per motivi lavorativi e basta",,[]
Thu Jan 02 22:30:01 +0000 2020,Francesco Pastore,"Mercante d'armi antimoralista, realista e anticomunista","Ma i pacifisti (froci intellettuali) arcobaleno dove cazzo sono?
In #Libia sta per scoppiare l'inferno.
Presto piov… https://t.co/fBmFFZoVZu","Ma i pacifisti (froci intellettuali) arcobaleno dove cazzo sono?
In #Libia sta per scoppiare l'inferno.
Presto pioveranno immigrati e terroristi da ogni parte.","[{'text': 'Libia', 'indices': [68, 74]}]"
Fri Jan 03 23:03:33 +0000 2020,Salerno Today,SalernoToday è il giornale online che raccoglie la voce di chi abita a Salerno e provincia. SalernoToday ha 700.000 visite al mese,"Lutto a Salerno, addio alla trans Carlotta Caputo: il ricordo di un'amica https://t.co/XwXJmCQeoC https://t.co/VAhuHykUNY",,[]
Sat Jan 04 00:02:10 +0000 2020,michi 🧫,mannaggia a cicero,io e il mio esercito di froci e amici LGBTQ che facciamo la rivoluzione nel mio paesello e cacciamo i preti omobitr… https://t.co/Li15i1Abj2,"io e il mio esercito di froci e amici LGBTQ che facciamo la rivoluzione nel mio paesello e cacciamo i preti omobitransfobici, misogini, sessisti, razzisti e anticomunisti https://t.co/RjRsxV7vp0",[]
Sat Jan 04 04:10:54 +0000 2020,hair49gc,Sempre in attesa,"@unviaggioinme @Gabbiacane @governocacca Gay pride, paraolimpiadi e paratutto, presenza di froci e autistici ormai… https://t.co/27PHM1tZNK","@unviaggioinme @Gabbiacane @governocacca Gay pride, paraolimpiadi e paratutto, presenza di froci e autistici ormai in tutte le trasmissioni, storie pietistiche di negri e immigrati in genere, a tutte le ore anche a orario pasti, non si riesce nemmeno  a mangiare in santa pace, bisogna per forza provocare stomacore cazzo",[]
Sat Jan 04 09:02:12 +0000 2020,ITALIANO VERO 🇮🇹🇮🇹no GLOBAL NO UE ITALIEXIT,No sx . no 👎 soros e simili . prima gli italiani . forza MATTEO E GIORGIA ! si emigrati che investono in 🇮🇹 no parassiti 🦠!! impr Edile,Sono tutti gay lesbiche trans lgbt ecc ecc uno etero non lo trovi quindi 🤫🤫🤫,,[]
Sat Jan 04 18:34:21 +0000 2020,Mrs Grinch,io sono Bender baby prego inserire liquore,@Lasociale3D @arica72 usi le parole gay e froci come insulti. e dici che ti stanno sui coglioni. se non è omofobia questa...,,[]
Sun Jan 05 00:25:22 +0000 2020,Marco,Blocco facile a chi pensa alla felicità del cane e non a quella di suo figlio. L’unica vacca che cerco è quella sulla griglia. Lombardo Secessionista DOC.,"@Arcigay 
Levatemi una curiosità, amichevolmente..
L’intolleranza verso i froci perché è omo-fobia? 
So benissimo p… https://t.co/fmYQPw8OIB","@Arcigay 
Levatemi una curiosità, amichevolmente..
L’intolleranza verso i froci perché è omo-fobia? 
So benissimo per cosa mi si sveglia l’ormone. 
Vi è così difficile riconoscere l’intolleranza verso l’innaturalità delle cose? 🤔
Phobos è la paura, non il disprezzo. https://t.co/F6LJecx7J9",[]
Sun Jan 05 10:20:31 +0000 2020,frango,insta: @fzefus,@EnzoArlotta29 @MatteoDentini 2020 e uno non può andare a trans Enzo? Non ti vergogni?,,[]
Sun Jan 05 11:39:43 +0000 2020,🏳️‍🌈 Progetto GenderQueer 2.0 🇮🇹,A favore dei percorsi transgender non medicalizzati. Contro il movimento gender critical,"Ho saputo solo ora della lotta tra trans guelfi e trans ghibellini.
Sarà che sono preso dal mio grande amore... ma… https://t.co/0OlHafPZ5A","Ho saputo solo ora della lotta tra trans guelfi e trans ghibellini.
Sarà che sono preso dal mio grande amore... ma sappiate che nessuna delle due barricate mi ha cacato!
ahahha forse meglio così! :D",[]
Mon Jan 06 10:09:13 +0000 2020,♡ ♡ RICCARDO AND THE DIAMONDS ♡ ♡,I wouldn’t trust my own blue-eyed reflection https://curiouscat.me/XCXricky_163XCX,@Queerrilla Io seguo una attivista trans americana (Kat Blaque) che un giorno lo menzionò in un tweet senza neanche… https://t.co/IvzK84BbHT,"@Queerrilla Io seguo una attivista trans americana (Kat Blaque) che un giorno lo menzionò in un tweet senza neanche l’@ e lui trovò lo stesso il tweet e cominciò a dirle di smetterla di offendersi per qualsiasi cosa ecc... considerando che anche a me piaceva all’inizio, boh",[]
